station,start_count,end_count,total_count
"Cardinal Place, Victoria",35416,98615,134031
"Cadogan Gardens, Sloane Square",4726,129022,133748
"The Guildhall, Guildhall",63771,69836,133607
"Wellington Road, St. John's Wood",70388,63198,133586
"Speakers' Corner 2, Hyde Park",67010,66371,133381
"West Kensington Station, West Kensington",67811,65485,133296
"Pitfield Street Central, Hoxton",74592,58573,133165
"Star Road, West Kensington",68305,64715,133020
"Theobalds Road , Holborn",5491,127270,132761
"Everington Street, Fulham",68146,64607,132753
"Thorndike Close, West Chelsea",69717,63025,132742
"Harrowby Street, Marylebone",69037,63335,132372
"Finnis Street, Bethnal Green",69060,62983,132043
"Murray Grove , Hoxton",73074,58940,132014
"King Edward Street, St Pauls",63680,68206,131886
"Bedford Way, Bloomsbury",67643,64223,131866
"Olympia Way, Olympia",68113,63707,131820
"Handyside Street, King's Cross",67939,63710,131649
"Palissy Street, Shoreditch",69531,61598,131129
"Imperial Road, Sands End",66302,64642,130944
"Breams Buildings, Holborn",65328,65488,130816
"LSBU (Borough Road), Elephant & Castle",65396,64834,130230
"Gower Place , Euston",68043,61973,130016
"Nevern Place, Earl's Court",66610,63282,129892
"Strata, Southwark",2223,127018,129241
"Cleveland Gardens, Bayswater",68571,60500,129071
"Courland Grove, Wandsworth Road",65282,63623,128905
"Vauxhall Bridge , Pimlico",65387,63344,128731
"London Fields, Hackney Central",48175,80531,128706
"Eaton Square, Belgravia",65584,62840,128424
"Millbank House, Pimlico",3799,124355,128154
"Waterloo Bridge, South Bank",62183,65742,127925
"Chancery Lane, Holborn",63450,64351,127801
"Guildhouse Street, Victoria",63566,63572,127138
"Irene Road, Parsons Green",64688,62047,126735
"Holland Park, Kensington",70668,55763,126431
"Hewison Street, Old Ford",63626,62315,125941
"Upcerne Road, West Chelsea",64272,60950,125222
"Crinan Street, King's Cross",61984,63183,125167
"Ford Road, Old Ford",63304,61824,125128
"Beryl Road, Hammersmith",63662,61453,125115
"Hermitage Court, Wapping",64609,60485,125094
"Haggerston Road, Haggerston ",2616,122476,125092
"Lincoln's Inn Fields, Holborn",60674,64277,124951
"Carnegie Street, King's Cross",70885,53893,124778
"Crabtree Lane, Fulham",63726,60910,124636
"Kensington Gore, Knightsbridge",65267,58740,124007
"Charlotte Terrace, Angel",70254,53615,123869
"South Parade, Chelsea",61602,62212,123814
"Abingdon Villas, Kensington",62188,61441,123629
"Walworth Road, Southwark",3452,119722,123174
"Whiston Road, Haggerston",66837,55986,122823
"Mostyn Grove, Bow",63402,59268,122670
"Millennium Hotel, Mayfair",59182,63482,122664
"Harper Road, The Borough",61059,61574,122633
"Pitfield Street (North),Hoxton",5156,116611,121767
"Hansard Mews, Holland Park",57850,63909,121759
"Dorothy Road, Clapham Junction",62371,59119,121490
"Ferndale Road, Brixton",51182,70143,121325
"Normand Park, Fulham",3430,117669,121099
"Westfield Southern Terrace ,Shepherd's Bush",57524,63529,121053
"Goswell Road (City Uni), Finsbury",65049,55929,120978
"Queensbridge Road, Haggerston",64847,55809,120656
"Eaton Square (South), Belgravia",59344,61058,120402
"Charlbert Street, St. John's Wood",63101,57163,120264
"Lindfield Street, Poplar",60714,59251,119965
"St. John Street, Finsbury",64760,54759,119519
"Grafton Street, Mayfair",53649,65670,119319
"Usk Road, Clapham Junction",60113,59017,119130
"Eversholt Street , Camden Town",62345,56743,119088
"Hoxton Street, Hoxton",64293,54766,119059
"Clapham Common Station, Clapham Common",50556,68204,118760
"Vereker Road North, West Kensington",20617,98109,118726
"Felsham Road, Putney",58113,60536,118649
"Vaughan Way, Wapping",14739,103828,118567
"Clifton Street, Shoreditch",57644,60898,118542
"Sail Street, Vauxhall",61488,56675,118163
"Belgrave Square, Belgravia",59720,58418,118138
"Princedale Road , Holland Park",60060,57698,117758
"Orbel Street, Battersea",60872,56406,117278
"Walworth Square, Walworth",53085,64191,117276
"Rectory Square, Stepney",61086,55597,116683
"Disraeli Road, Putney",56721,59872,116593
"Clapham Common North side, Clapham Common",12594,103673,116267
"St. John's Wood Road, St. John's Wood",68100,48077,116177
"Neville Gill Close, Wandsworth",56560,59558,116118
"Stanhope Gate, Mayfair",57364,58560,115924
"Westfield Library Corner, Shepherd's Bush",56711,59026,115737
"Longford Street, The Regent's Park",61447,54157,115604
"Grosvenor Road, Pimlico",62726,52829,115555
"Columbia Road, Weavers",5027,110427,115454
"Harford Street, Mile End",59795,55234,115029
"Wendon Street, Old Ford",58282,56566,114848
"Hardwick Street, Clerkenwell",68457,46390,114847
"Claremont Square, Angel",69963,44864,114827
"The Tennis Courts, Regent's Park",3303,111193,114496
"Gwendwr Road, West Kensington",58473,56000,114473
"Hollybush Gardens, Bethnal Green",57232,57216,114448
"Bradmead, Battersea Park",33769,80531,114300
"Blackfriars Station, St. Paul's",52374,61001,113375
"Altab Ali Park, Whitechapel",2570,110579,113149
"Sancroft Street, Vauxhall",59390,53673,113063
"Vauxhall Street, Vauxhall",55560,57435,112995
"East India DLR, Blackwall",54612,58309,112921
"Bourne Street, Belgravia",52293,60253,112546
"Kensington Olympia Station, Olympia",58350,53728,112078
"Goldsmiths Row, Haggerston",3560,108261,111821
"Central House, Whitechapel",817,110579,111396
"Southwark Street, Bankside",54694,56052,110746
"Coram Street, Bloomsbury",59712,50984,110696
"Prince Albert Road, Regent's Park",3465,107103,110568
"Lightermans Road, Millwall",54058,56327,110385
"Ackroyd Drive, Bow",57955,52394,110349
"Chrisp Street Market, Poplar",54412,54949,109361
"Worship Street, Hackney",1066,107988,109054
"Sugden Road, Clapham",56968,51974,108942
"All Saints' Road, Portobello",55269,52572,107841
"Cotton Garden Estate, Kennington",56501,51002,107503
"Aylward Street, Stepney",56499,50628,107127
"Normandy Road, Stockwell",53688,53190,106878
"Smugglers Way, Wandsworth",53106,53717,106823
"Sheepcote Lane, Battersea",54590,52122,106712
"Sidney Street, Stepney",3575,103014,106589
"Aberdeen Place, St. John's Wood",58739,47782,106521
"Devons Road, Bow",53510,52414,105924
"Clapham Common Northside, Clapham Common",1954,103673,105627
"Princes Square, Bayswater",56454,48533,104987
"Frampton Street, Paddington",57321,47630,104951
"Little Brook Green, Brook Green",50613,53922,104535
"Abyssinia Close, Clapham Junction",51073,53178,104251
"River Street , Clerkenwell",61518,42558,104076
"Houghton Street, Strand",50866,52594,103460
"Bishop's Bridge Road East, Bayswater",55937,47446,103383
"Cromer Street, Bloomsbury",53429,49877,103306
"Simpson Street, Battersea",2585,100702,103287
"Fishermans Walk West, Canary Wharf",3809,98458,102267
"Denyer Street, Knightsbridge",50351,51432,101783
"St Katharines Way, Tower",3323,98189,101512
"Blythe Road West, Shepherd's Bush",51378,50001,101379
"Stainsby Road , Poplar",51779,48991,100770
"Queen Marys, Mile End",4171,96238,100409
"Waterloo Roundabout, Waterloo",1678,98526,100204
"Buxton Street 1, Shoreditch",52897,47065,99962
"Gun Makers Lane, Old Ford",3035,96105,99140
"Clarence Walk, Stockwell",50614,48135,98749
"Farm Street, Mayfair",46822,51451,98273
"Clapham Road, Lingham Street, Stockwell",49560,48287,97847
"Edgware Road Station, Paddington",3887,93779,97666
"Kensington Town Hall, Kensington",49488,48084,97572
"Vincent Square, Westminster",48871,48457,97328
"Vicarage Gate, Kensington",52029,45085,97114
"Great Dover Street, Borough",3928,92817,96745
"Cleaver Street, Kennington",49128,47539,96667
"Belford House, Haggerston",53300,43314,96614
"Blackfriars road, Southwark",5,96275,96280
"Kings Gate House, Westminster",45983,49953,95936
"New Spring Gardens Walk, Vauxhall",42505,53339,95844
"Austin Road, Battersea",3184,92365,95549
"Hawley Crescent, Camden Town",46532,48150,94682
"Aston Street, Stepney",48510,45592,94102
"Risinghill Street, Angel",57259,36695,93954
"Manbre Road, Hammersmith",47927,45973,93900
"Cumberland Gate, Hyde Park",46785,46602,93387
"Victory Place, Walworth",47825,44722,92547
"Lisson Grove, St. John's Wood",50578,41490,92068
"Southern Grove, Bow",47727,44044,91771
"South Audley Street, Mayfair",44219,47205,91424
"Clarkson Street, Bethnal Green",48501,42837,91338
"Greycoat Street , Westminster",44912,46122,91034
"Colombo Street, Southwark",44777,46107,90884
"Marloes Road, Kensington",46738,44008,90746
"Monier Road, Newham",34,90643,90677
Monier Road,11,90643,90654
"Bethnal Green Gardens, Bethnal Green",3323,86851,90174
"Ranelagh Gardens, Fulham",45271,44526,89797
"Hibbert Street, Clapham Junction",7145,82222,89367
"Temple Gardens, Temple",44282,44124,88406
"Albany Street, Regent's Park",3242,84993,88235
"Stanley Grove, Battersea",45717,42332,88049
"Melton Street, Euston",30545,57400,87945
"Selby Street, Whitechapel",44914,42380,87294
"Ferndale Road, Brixton. ",17018,70143,87161
"Carey Street, Holborn",42636,44522,87158
"Clarendon Road, Avondale",44205,42665,86870
"Clifford Street, Mayfair",39299,47351,86650
"Euston Square Gardens, Euston",28427,57400,85827
"Elysium Place, Fulham",43584,40200,83784
"London Zoo, Regents Park",2391,81097,83488
"Oval Way, Vauxhall",15094,68204,83298
"Clarges Street, Mayfair",39339,43893,83232
"Teversham Lane, Stockwell",40791,42429,83220
"Putney Rail Station, Putney",41970,41199,83169
"Lodge Road, St. John's Wood",9426,72985,82411
"Bradmead, Nine Elms",1792,80531,82323
"New North Road 2, Hoxton",44807,37505,82312
"Calshot Street , King's Cross",44334,37367,81701
"Dickens Square, Borough",40652,41031,81683
"Plough Terrace, Clapham Junction",42826,38323,81149
"London Zoo Car Park, Regent's Park",3122,77519,80641
"Bromley High Street, Bow",40239,40377,80616
"Import Dock, Canary Wharf",29245,51279,80524
"Russell Gardens, Olympia",40719,39475,80194
"New Kent Road, Borough",2236,77868,80104
"Canton Street, Poplar",40647,39451,80098
"Halford Road, Fulham",785,79165,79950
"Spindrift Avenue, Millwall",38864,40431,79295
"Penfold Street, Marylebone",42211,36791,79002
"Grosvenor Crescent, Belgravia",40153,38821,78974
"Napier Avenue, Millwall",39474,39486,78960
"Gauden Road, Clapham",32195,46743,78938
"Montserrat Road , Putney",36741,41917,78658
"Pennington Street, Wapping",41673,36859,78532
"Heron Quays DLR, Canary Wharf",38590,39684,78274
"Culvert Road, Battersea",40031,37808,77839
"Addison Road, Holland Park",39513,38267,77780
"Sidney Road, Stockwell",39076,38223,77299
"Heath Road, Battersea",40538,36651,77189
"York Way, Kings Cross",39630,37316,76946
"Rathbone Street, Fitzrovia ",1655,75272,76927
"Walmer Road, Avondale",38533,38300,76833
"Upper Grosvenor Street, Mayfair",40272,36238,76510
"St Martins Close, Camden Town",39806,36605,76411
"Thessaly Road North, Wandsworth Road",12026,64191,76217
"Copper Box Arena, Queen Elizabeth Olympic Park",38228,37755,75983
"Kennington Lane Tesco, Vauxhall",36382,39227,75609
"Northfields, Wandsworth",38043,36928,74971
"Here East North, Queen Elizabeth Olympic Park",36979,37890,74869
"South Quay West, Canary Wharf",1724,73016,74740
"Harrington Square 1, Camden Town",40105,34553,74658
"Naval Row, Blackwall",36933,37719,74652
"Campden Hill Road, Notting Hill",41683,32886,74569
"Victoria and Albert Museum, Cromwell Road",1451,72818,74269
"Peterborough Road, Sands End",38028,35689,73717
"George Row, Bermondsey",36826,36663,73489
"Hoxton Station, Haggerston",3444,69008,72452
"Arundel Street, Temple",34954,37300,72254
"Alpha Grove, Millwall",35977,36259,72236
"Montgomery Square, Canary Wharf",20591,51279,71870
"Broadley Terrace, Marylebone",38782,32609,71391
"Killick Street, King's Cross",36861,34498,71359
"Alma Road, Wandsworth",39678,31183,70861
"Abbotsbury Road, Holland Park",36982,33829,70811
"Rossmore Road, Marylebone",38076,32632,70708
"Hurlingham Park, Parsons Green",36014,34632,70646
"Paddington Green Police Station, Paddington",31659,38508,70167
"Thurtle road, Haggerston",32479,37212,69691
"Farringdon Street, Holborn",34861,34810,69671
"Stewart's Road, Wandsworth Road",35947,33709,69656
"Merchant Street, Bow",35768,33734,69502
"Oval Way, Lambeth",870,68204,69074
"Mallory Street, Marylebone",37969,30400,68369
"St John's Crescent, Brixton",32530,35642,68172
"Broomhouse Lane, Parsons Green",34496,33273,67769
"Grant Road West, Clapham Junction",6639,61001,67640
"Putney Bridge Road, East Putney",34165,32905,67070
"Embankment (Horse Guards), Westminster",6811,60253,67064
"Queensdale Road, Shepherd's Bush",32556,33413,65969
"Hansard Mews, Shepherds Bush",1898,63909,65807
"Hammersmith Town Hall, Hammersmith",29949,35651,65600
"Grenfell Road, Avondale",32874,32483,65357
"Thessaly Road North, Nine Elms",1069,64191,65260
"Ilchester Place, Kensington",35471,29701,65172
"King Edward Walk, Waterloo",33396,31530,64926
"East Ferry Road, Cubitt Town",31991,32784,64775
"Holden Street, Battersea",33433,31266,64699
"Tower Wharf, Bermondsey",32501,32116,64617
"Lancaster Drive, Blackwall",31963,31767,63730
"Harper Road, Borough",1660,61574,63234
"St. John's Wood Church, Regent's Park",2034,60912,62946
"Rifle Place, Avondale",31163,31727,62890
"Geraldine Street, Elephant & Castle",32780,29933,62713
"Newby Place, Poplar",30645,31975,62620
"Jubilee Crescent, Cubitt Town",31771,30702,62473
"Freston Road, Avondale",30444,31467,61911
"Exhibition Road Museums 2, South Kensington",28033,33550,61583
"Orsett Terrace, Bayswater",33705,27841,61546
"Westminster Bridge Road, Elephant & Castle",31648,29336,60984
"Usk Road, Battersea",1222,59017,60239
"Stockwell Roundabout, Stockwell",13348,46743,60091
"Fore Street Avenue, Guildhall",29014,30783,59797
"Nantes Close, Wandsworth",28516,30863,59379
"Greenberry Street, St.John's Wood",34821,24548,59369
"Spencer Park, Wandsworth Common",30287,28574,58861
"Evesham Street, Avondale",29007,29790,58797
"Fawcett Close, Battersea",28138,29357,57495
"New North Road 1, Hoxton",35922,21378,57300
"Longford Street, Regent's Park",2776,54157,56933
"Cantrell Road, Bow",29687,27055,56742
"Preston's Road, Cubitt Town",28098,28218,56316
"Hampstead Road (Cartmel), Euston",26906,28872,55778
"Upper Richmond Road, Putney",27809,27651,55460
"Paddington Green, Paddington",30172,25160,55332
"Ingrave Street, Clapham Junction",27124,27654,54778
"Canada Water Station, Rotherhithe",26662,28114,54776
"The Metropolitan, Portobello",24386,30182,54568
"Kingsway, Covent Garden",27055,27102,54157
"Stebondale Street, Cubitt Town",25060,28869,53929
"Victoria Rise, Clapham Common",21063,32749,53812
"Sugden Road, Battersea",1554,51974,53528
"Gascoyne Road, Victoria Park",23348,30061,53409
"Oxford Road, Putney",25549,27279,52828
"Langdon Park, Poplar",26180,26553,52733
"Thurtle Road, Haggerston",14963,37212,52175
"Mudchute DLR, Cubitt Town",25282,26452,51734
Import Dock,142,51279,51421
"St. Mary & St. Michael Church, Stepney",27161,23402,50563
"Limburg Road, Clapham Junction",25230,25306,50536
"Sun Street, Liverpool Street",11487,38508,49995
"Wynne Road, Stockwell",24734,24983,49717
"Ladbroke Grove Central, Ladbroke Grove",30035,19400,49435
"Morie Street, Wandsworth",22956,25816,48772
"Lord's, St. John's Wood",28355,20189,48544
"Victory place, Walworth",2834,44722,47556
"Bermondsey Station, Bermondsey",23196,24162,47358
"Lansdowne Walk, Ladbroke Grove",26165,20916,47081
"Mexfield Road, East Putney",24886,22140,47026
Pop Up Dock 2,69,46602,46671
"Here East South, Queen Elizabeth Olympic Park",22477,23079,45556
"Sirdar Road, Avondale",22764,22723,45487
"Clarges Street, West End",1416,43893,45309
"Lansdowne Way Bus Garage, Stockwell",11230,32749,43979
"Millharbour, Millwall",21153,21949,43102
"Esmond Street, Putney",20461,21900,42361
"Bromley High Street, Bromley",985,40377,41362
"Spanish Road, Clapham Junction",22757,18472,41229
"Russell Gardens, Holland Park",1463,39475,40938
"Aberfeldy Street, Poplar",20302,20078,40380
"Walmer Road, Notting Hill",1422,38300,39722
"Bevington Road, North Kensington",8351,30182,38533
"Thornfield House, Poplar",4597,33550,38147
"St. John's Park, Cubitt Town",19201,18921,38122
"St Martin's Close, Camden Town",1475,36605,38080
"Bourne Street, Belgravia",18823,19081,37904
"Wansey Street, Walworth",97,37300,37397
"York Way, Camden",1,37316,37317
"Killick Street, Kings Cross",1881,34498,36379
"Castalia Square, Cubitt Town",6128,30061,36189
"Harrington Square, Camden Town",911,34553,35464
"Nantes Close, Clapham Junction",4600,30863,35463
"Santos Road, Wandsworth",18922,16241,35163
"Lansdowne Drive, Hackney Central",5994,28872,34866
"Portugal Street, Holborn",16961,17541,34502
"Stewart's Road, Nine Elms",663,33709,34372
"Coborn Street, Mile End",340,33734,34074
"Malmesbury Road, Bow",17477,15819,33296
"Fawcett Close, Clapham Junction",3512,29357,32869
"Teviot Street, Poplar",15144,15147,30291
"Lansdown Drive, Hackney Central",630,28872,29502
"London Street, Paddington",12017,16806,28823
"Upper Richmond Road, East Putney",978,27651,28629
"Ingrave Street, Battersea",635,27654,28289
"Limburg Road, Clapham Common",466,25306,25772
"Waterloo Station 3, Waterloo",12454,12956,25410
"Manfred Road, East Putney",8169,16806,24975
"St. Mary and St. Michael Church, Stepney",820,23402,24222
"Hop Exchange, The Borough",9824,13379,23203
"Hyde Park Corner, Hyde Park",11498,11582,23080
"Belgrove Street , King's Cross",11399,11643,23042
"Colet Gardens, Hammersmith",10964,11469,22433
"Wormwood Street, Liverpool Street",11054,11224,22278
"Lansdowne Walk, Notting Hill",827,20916,21743
"South Quay East, Canary Wharf",9890,10971,20861
"Waterloo Station 1, Waterloo",10258,10422,20680
"Ladbroke Grove Central, Notting Hill",896,19400,20296
"Brushfield Street, Liverpool Street",8975,10907,19882
"Duke Street Hill, London Bridge",9265,10134,19399
"St John's Park, Cubitt Town",449,18921,19370
"Spanish Road, Wandsworth",666,18472,19138
"St. James's Square, St. James's",7980,10860,18840
"Exhibition Road, Knightsbridge",8574,9748,18322
"Rodney Street, Angel",10836,6413,17249
"Soho Square , Soho",7776,9200,16976
"Bethnal Green Road, Shoreditch",8391,8430,16821
"Little Argyll Street, West End",7677,8398,16075
"Old Street Station, St. Luke's",7879,7903,15782
"Tooley Street, Bermondsey",7396,8108,15504
"Cheapside, Bank",7119,8069,15188
"Islington Green, Angel",7634,7363,14997
"Battersea Power Station, Battersea Park",7453,7465,14918
"Albert Gate, Hyde Park",7461,7374,14835
"Royal London Hospital, Whitechapel",7076,7149,14225
"Queen Street 1, Bank",5383,8743,14126
"Warren Street Station, Euston",7001,7012,14013
"Limerston Street, West Chelsea",7020,6962,13982
"Allington Street, Victoria",6914,6951,13865
"Regent's Row , Haggerston",6941,6902,13843
"Battersea Park Road, Nine Elms",6776,6801,13577
"Holborn Circus, Holborn",5766,7696,13462
"Eagle Wharf Road, Hoxton",7184,6262,13446
"Westminster Pier, Westminster",6600,6843,13443
"Fulham Broadway, Walham Green",6624,6748,13372
"Great Tower Street, Monument",6464,6904,13368
"Vauxhall Cross, Vauxhall",6598,6681,13279
"Black Lion Gate, Kensington Gardens",6575,6463,13038
"Finsbury Circus, Liverpool Street",6007,7018,13025
"London Fields, Hackney Central",6510,6459,12969
"Aquatic Centre, Queen Elizabeth Olympic Park",6335,6493,12828
"Craven Street, Strand",6297,6514,12811
"South Kensington Station, South Kensington",6274,6386,12660
"Whitehall Place, Strand",5369,7207,12576
"Crosswall, Tower",6048,6517,12565
"Baylis Road, Waterloo",6169,6277,12446
"Imperial College, Knightsbridge",5729,6708,12437
"Gloucester Road Station, South Kensington",6175,6220,12395
"Derry Street, Kensington",6168,6205,12373
"Kennington Lane Rail Bridge, Vauxhall",6101,6207,12308
"Green Park Station, Mayfair",5752,6548,12300
"Lambeth Palace Road, Waterloo",6004,6111,12115
"Waterloo Station 2, Waterloo",7061,5050,12111
"Tower Gardens , Tower",5902,6131,12033
"Shoreditch High Street, Shoreditch",5946,6030,11976
"Moor Street, Soho",5891,6057,11948
"Braham Street, Aldgate",5950,5988,11938
"Queen Street 2, Bank",6000,5825,11825
"Drury Lane, Covent Garden",5790,6032,11822
"Moorfields, Moorgate",5593,6217,11810
"Old Quebec Street, Marylebone",5851,5919,11770
"Wellington Street , Strand",5761,5976,11737
"Blythe Road, Olympia",4820,6890,11710
"Wellington Arch, Hyde Park",5709,5717,11426
"Aldersgate Street, Barbican",5640,5694,11334
"Clapham Common Station, Clapham Common",5674,5616,11290
"Finsbury Leisure Centre, St. Luke's",5756,5534,11290
"Malet Street, Bloomsbury",5541,5658,11199
"Nesham Street, Wapping",5520,5468,10988
"William IV Street, Strand",4985,5988,10973
"Strata, Elephant & Castle",5459,5508,10967
"Sloane Avenue, Knightsbridge",5371,5556,10927
"Bunhill Row, Moorgate",5164,5667,10831
"Flood Street, Chelsea",5282,5542,10824
"Maplin Street, Mile End",5450,5362,10812
"Bermondsey Street, Bermondsey",5542,5254,10796
"Pitfield Street North,Hoxton",5633,5147,10780
"Newgate Street , St. Paul's",4792,5969,10761
"Storey's Gate, Westminster",4902,5803,10705
"Ethelburga Estate, Battersea Park",5369,5317,10686
"Wardour Street, Soho",5289,5387,10676
"Gas Holders, Battersea Park",5298,5302,10600
"Sedding Street, Sloane Square",4949,5644,10593
"Blackfriars Station, St. Paul's",5218,5370,10588
"Pritchard's Road, Bethnal Green",5408,5175,10583
"Park Lane , Hyde Park",5253,5283,10536
"Kennington Cross, Kennington",5290,5027,10317
"London Street, Paddington",5482,4826,10308
"Panton Street, West End",4993,5231,10224
"Warwick Row, Westminster",4927,5206,10133
"Drayton Gardens, West Chelsea",5058,5047,10105
"Serpentine Car Park, Hyde Park",4986,4981,9967
"Eccleston Place, Victoria",4943,5018,9961
"Cleveland Way, Stepney",4994,4915,9909
"Leonard Circus , Shoreditch",4761,5135,9896
"Strand, Strand",4870,4938,9808
"Westbridge Road, Battersea",4903,4848,9751
"Dorset Square, Marylebone",4820,4798,9618
"Wells Street, Fitzrovia",4663,4862,9525
"Bayswater Road, Hyde Park",5172,4350,9522
"Eastbourne Mews, Paddington",4998,4520,9518
"Bank of England Museum, Bank",4601,4793,9394
"Queensway, Kensington Gardens",4746,4616,9362
"Good's Way, King's Cross",4674,4683,9357
"Hinde Street, Marylebone",4551,4779,9330
"Wright's Lane, Kensington",4554,4769,9323
"Falcon Road, Clapham Junction",4589,4696,9285
"Dunston Road , Haggerston",4798,4462,9260
"Boston Place, Marylebone",5044,4216,9260
"Flamborough Street, Limehouse",4650,4593,9243
"Macclesfield Rd, St Lukes",5070,4127,9197
"Leman Street, Aldgate",4575,4614,9189
"Page Street, Westminster",4445,4708,9153
"Churchill Place, Canary Wharf",2208,6890,9098
"Bramham Gardens, Earl's Court",4911,4154,9065
"Wenlock Road , Hoxton",5040,3961,9001
"Jubilee Gardens, South Bank",4179,4782,8961
"Normand Park, West Kensington",4499,4437,8936
"High Holborn , Covent Garden",4292,4636,8928
"Snowsfields, London Bridge",4216,4709,8925
"Barons Court Station, West Kensington",4467,4456,8923
"Red Lion Street, Holborn",4382,4516,8898
"Alderney Street, Pimlico",4605,4261,8866
"Monument Street, Monument",4302,4507,8809
"Notting Hill Gate Station, Notting Hill",4712,4068,8780
"Grant Road Central, Clapham Junction",2952,5801,8753
"Taviton Street, Bloomsbury",4492,4258,8750
"Endsleigh Gardens, Euston",4500,4237,8737
"LMU Commercial Road, Whitechapel",4372,4338,8710
"Liverpool Road (N1 Centre), Angel",4346,4339,8685
"Monier Road, Hackney Wick",4358,4306,8664
"Stepney Green Station, Stepney",4354,4302,8656
"Hatton Wall, Holborn",4192,4443,8635
"Clerkenwell Green, Clerkenwell",4367,4264,8631
"Tanner Street, Bermondsey",4285,4292,8577
"Tysoe Street, Clerkenwell",4321,4247,8568
"Warwick Road, Olympia",4376,4178,8554
"Howland Street, Fitzrovia",4264,4278,8542
"Riverlight North, Nine Elms",4255,4278,8533
"Bayley Street , Bloomsbury",4165,4342,8507
"Imperial Wharf Station, Sands End",4245,4223,8468
"Marylebone Lane, Marylebone",4110,4290,8400
"Tavistock Street, Covent Garden",3874,4504,8378
"Howick Place, Westminster",3882,4489,8371
"Horseferry Road, Westminster",4092,4263,8355
"Curlew Street, Shad Thames",4185,4162,8347
"Sun Street, Liverpool Street",3989,4323,8312
"Park Road (Baker Street), The Regent's Park",4199,4105,8304
"Sea Containers, South Bank",4100,4166,8266
"The Vale, Chelsea",4157,4105,8262
"Maida Vale, Maida Vale",4184,4050,8234
"Bishop's Bridge Road West, Bayswater",4217,4017,8234
"Queen Mary's, Mile End",4114,4081,8195
"Queen's Circus, Battersea Park",4082,4106,8188
"Earnshaw Street , Covent Garden",4043,4129,8172
"New Road 1 , Whitechapel",4076,4088,8164
"Dock Street, Wapping",4102,4046,8148
"Broadwick Street, Soho",3930,4188,8118
"Palace Gate, Kensington Gardens",4041,4077,8118
"Northington Street , Holborn",4073,4045,8118
"Sopwith Way, Battersea Park",4016,4099,8115
"Jubilee Plaza, Canary Wharf",3962,4135,8097
"Worship Street, Shoreditch",3724,4333,8057
"South Lambeth Road, Vauxhall",4004,4044,8048
"Guilford Street , Bloomsbury",4080,3958,8038
"Sackville Street, Mayfair",3802,4204,8006
"Berry Street, Clerkenwell",4000,3978,7978
"Golden Square, Soho",3768,4157,7925
"Porchester Place, Paddington",4080,3840,7920
"Green Street, Mayfair",3950,3966,7916
"Harcourt Terrace, West Brompton",4127,3788,7915
"Kensington Church Street, Kensington",3958,3935,7893
"Southampton Street, Strand",3909,3962,7871
"West Smithfield Rotunda, Farringdon",3881,3987,7868
"Elizabeth Bridge, Victoria",3582,4175,7757
"Devonshire Terrace, Bayswater",4093,3647,7740
"Cranmer Road, Stockwell",3851,3872,7723
"Bath Street, St. Luke's",3844,3865,7709
"Frith Street, Soho",3778,3908,7686
"Hatton Garden, Holborn",3959,3717,7676
"Lollard Street, Vauxhall",3860,3811,7671
"St Mary's Hospital, Paddington",3990,3677,7667
"Montpelier Street, Knightsbridge",3801,3866,7667
"Seville Street, Knightsbridge",3738,3912,7650
"Rampayne Street, Pimlico",3845,3735,7580
"Goldsmith's Row, Haggerston",3970,3607,7577
"Penywern Road, Earl's Court",3981,3583,7564
"Bricklayers Arms, Borough",3817,3738,7555
"Binfield Road, Stockwell",3860,3692,7552
"Phillimore Gardens, Kensington",3699,3850,7549
"Fanshaw Street, Hoxton",4045,3480,7525
"Erin Close, Walham Green",3753,3772,7525
"George Row, Bermondsey",3760,3750,7510
"Parson's Green , Parson's Green",3799,3708,7507
"Simpson Street, Clapham Junction",3739,3748,7487
"Stephendale Road, Sands End",3807,3679,7486
"Queen Mother Sports Centre, Victoria",3612,3871,7483
"Museum of London, Barbican",3717,3730,7447
"Queen's Gate (North), Kensington",3582,3858,7440
"Columbia Road, Shoreditch",3898,3536,7434
"Queen's Gate, Kensington Gardens",3696,3720,7416
"Baldwin Street, St. Luke's",3616,3790,7406
"Chapel Place, Marylebone",3579,3824,7403
"Abbey Orchard Street, Westminster",3385,4004,7389
"Granby Street, Shoreditch",3794,3591,7385
"Gauden Road, Clapham",3723,3654,7377
"Parsons Green Station, Parsons Green",3756,3610,7366
"Pall Mall East, West End",3143,4208,7351
"Russell Square Station, Bloomsbury",3645,3700,7345
"Queen's Gate (Central), South Kensington",3577,3746,7323
"Old Brompton Road, South Kensington",3820,3484,7304
"Baker Street, Marylebone",3638,3661,7299
"Brunswick Square, Bloomsbury",3660,3632,7292
"Store Street, Bloomsbury",3579,3711,7290
"Queen's Gate (South), South Kensington",3614,3663,7277
"Handyside Street, King's Cross",3615,3658,7273
"Crawford Street, Marylebone",3660,3602,7262
"Albert Bridge Road, Battersea Park",3723,3538,7261
"Somerset House, Strand",3374,3878,7252
"Great Dover Street, The Borough",3662,3576,7238
"Walworth Square, Walworth",3628,3610,7238
"Tower Wharf, Bermondsey",3613,3620,7233
"Gloucester Road (North), Kensington",3631,3599,7230
"Greenland Road, Camden Town",3625,3587,7212
"Halford Road, West Kensington",3624,3585,7209
"Westfield Ariel Way, White City",3418,3776,7194
"All Saints Church, Portobello",3652,3540,7192
