bike_id,total_used_hrs,total_possible_hrs,total_unused_hrs,percent_used
8989,2220.0,67310,65090.0,3.3
9548,2309.0,67247,64938.0,3.43
9849,638.0,21009,20371.0,3.04
3513,1278.0,32421,31143.0,3.94
13731,2054.0,56372,54318.0,3.64
12731,2565.0,67203,64638.0,3.82
2538,1324.0,38281,36957.0,3.46
9639,2353.0,64135,61782.0,3.67
1784,2098.0,67315,65217.0,3.12
11096,2612.0,67313,64701.0,3.88
354,2318.0,67260,64942.0,3.45
14053,1822.0,51519,49697.0,3.54
5821,1601.0,53684,52083.0,2.98
5393,1749.0,52994,51245.0,3.3
7731,2054.0,65481,63427.0,3.14
12017,932.0,18992,18060.0,4.91
8693,1954.0,67281,65327.0,2.9
3270,1361.0,43638,42277.0,3.12
11550,2459.0,67066,64607.0,3.67
11830,1646.0,70315,68669.0,2.34
4147,725.0,21251,20526.0,3.41
3261,715.0,22444,21729.0,3.19
10741,2556.0,67312,64756.0,3.8
10882,2714.0,67281,64567.0,4.03
12808,2752.0,67165,64413.0,4.1
16634,369.0,22194,21825.0,1.66
1275,845.0,24230,23385.0,3.49
3295,1898.0,54115,52217.0,3.51
706,1930.0,67308,65378.0,2.87
12693,1859.0,70366,68507.0,2.64
10202,1885.0,67032,65147.0,2.81
15294,593.0,45591,44998.0,1.3
459,2444.0,66158,63714.0,3.69
2954,416.0,11725,11309.0,3.55
5433,1889.0,53735,51846.0,3.52
11720,1818.0,70344,68526.0,2.58
19866,902.0,14226,13324.0,6.34
17619,1470.0,21265,19795.0,6.91
1330,1633.0,48877,47244.0,3.34
10590,1624.0,42930,41306.0,3.78
11748,2148.0,70372,68224.0,3.05
6527,2065.0,64586,62521.0,3.2
17098,1091.0,18681,17590.0,5.84
11768,1654.0,67309,65655.0,2.46
6495,1894.0,54623,52729.0,3.47
17790,1120.0,19152,18032.0,5.85
9994,2381.0,66940,64559.0,3.56
12667,2654.0,70369,67715.0,3.77
15411,1634.0,42554,40920.0,3.84
18537,693.0,17493,16800.0,3.96
7947,2127.0,67318,65191.0,3.16
20841,345.0,8011,7666.0,4.31
6397,1451.0,42483,41032.0,3.42
7714,1818.0,67258,65440.0,2.7
12170,2307.0,66938,64631.0,3.45
21059,515.0,9432,8917.0,5.46
9038,2309.0,67282,64973.0,3.43
3428,2442.0,66631,64189.0,3.66
14968,1680.0,51056,49376.0,3.29
15940,1450.0,40538,39088.0,3.58
696,1672.0,58807,57135.0,2.84
8478,2074.0,66753,64679.0,3.11
2186,1977.0,51648,49671.0,3.83
20577,848.0,11926,11078.0,7.11
10483,2221.0,67272,65051.0,3.3
702,2121.0,67299,65178.0,3.15
9509,1771.0,46450,44679.0,3.81
5359,2122.0,67304,65182.0,3.15
1284,2016.0,65733,63717.0,3.07
1516,2454.0,67316,64862.0,3.65
631,992.0,35362,34370.0,2.81
822,1641.0,52993,51352.0,3.1
929,1900.0,61906,60006.0,3.07
17215,1459.0,22330,20871.0,6.53
1812,1318.0,65779,64461.0,2.0
18520,962.0,17566,16604.0,5.48
12890,2293.0,60677,58384.0,3.78
6555,1937.0,50068,48131.0,3.87
3941,1361.0,39623,38262.0,3.43
14593,243.0,54361,54118.0,0.45
12824,2701.0,70399,67698.0,3.84
9600,2418.0,66388,63970.0,3.64
3061,2191.0,65534,63343.0,3.34
16214,1584.0,32745,31161.0,4.84
7464,1891.0,63955,62064.0,2.96
20417,583.0,16159,15576.0,3.61
14377,1965.0,52472,50507.0,3.74
3540,1963.0,67338,65375.0,2.92
5396,1599.0,65716,64117.0,2.43
14164,1950.0,55157,53207.0,3.54
15232,1411.0,45587,44176.0,3.1
13760,1757.0,59337,57580.0,2.96
16783,1338.0,27119,25781.0,4.93
10286,1738.0,41474,39736.0,4.19
14080,1907.0,55083,53176.0,3.46
11063,2157.0,67305,65148.0,3.2
7390,1592.0,46703,45111.0,3.41
10963,2535.0,67301,64766.0,3.77
19957,738.0,13641,12903.0,5.41
9421,2338.0,67083,64745.0,3.49
12760,1401.0,38227,36826.0,3.66
6426,1630.0,44922,43292.0,3.63
1107,2160.0,60934,58774.0,3.54
3192,1176.0,67159,65983.0,1.75
4427,1773.0,57088,55315.0,3.11
6610,2269.0,67272,65003.0,3.37
13840,1452.0,37414,35962.0,3.88
2612,1582.0,43589,42007.0,3.63
7676,2138.0,67307,65169.0,3.18
14728,2101.0,50122,48021.0,4.19
14439,2088.0,55367,53279.0,3.77
7799,2025.0,63318,61293.0,3.2
17579,1204.0,19294,18090.0,6.24
12786,2512.0,70073,67561.0,3.58
4984,1467.0,60827,59360.0,2.41
12740,2172.0,70278,68106.0,3.09
7655,994.0,66839,65845.0,1.49
10067,2018.0,64924,62906.0,3.11
4943,2014.0,67330,65316.0,2.99
2446,1921.0,53110,51189.0,3.62
16930,1284.0,24817,23533.0,5.17
12585,1799.0,59693,57894.0,3.01
6708,1722.0,63208,61486.0,2.72
13699,1279.0,35419,34140.0,3.61
6962,1689.0,67322,65633.0,2.51
14194,2046.0,54870,52824.0,3.73
11488,1989.0,63658,61669.0,3.12
952,1204.0,39606,38402.0,3.04
19727,709.0,15333,14624.0,4.62
3056,1786.0,56383,54597.0,3.17
18240,1008.0,17185,16177.0,5.87
4140,2100.0,65483,63383.0,3.21
12711,2664.0,67305,64641.0,3.96
15004,1747.0,45077,43330.0,3.88
15935,1565.0,40533,38968.0,3.86
4889,2007.0,49858,47851.0,4.03
8918,767.0,36931,36164.0,2.08
12249,2015.0,54733,52718.0,3.68
16758,1595.0,27122,25527.0,5.88
12964,1864.0,48226,46362.0,3.87
21540,414.0,7127,6713.0,5.81
1041,1615.0,52919,51304.0,3.05
10910,1883.0,67291,65408.0,2.8
9506,2406.0,67056,64650.0,3.59
3136,2524.0,66919,64395.0,3.77
8610,1836.0,67157,65321.0,2.73
6963,1744.0,43719,41975.0,3.99
2143,2560.0,63775,61215.0,4.01
15005,1658.0,36500,34842.0,4.54
12394,2643.0,69138,66495.0,3.82
10159,2273.0,67306,65033.0,3.38
14047,2309.0,53020,50711.0,4.35
15155,1477.0,42575,41098.0,3.47
417,1693.0,42725,41032.0,3.96
8949,2323.0,66748,64425.0,3.48
14871,1996.0,47859,45863.0,4.17
10672,2674.0,67314,64640.0,3.97
13619,1853.0,60003,58150.0,3.09
291,2202.0,65850,63648.0,3.34
14657,1588.0,45916,44328.0,3.46
17719,1146.0,22263,21117.0,5.15
21394,361.0,10092,9731.0,3.58
17787,889.0,19365,18476.0,4.59
685,2443.0,67261,64818.0,3.63
16821,1531.0,27053,25522.0,5.66
3201,2285.0,66846,64561.0,3.42
21409,413.0,10291,9878.0,4.01
16884,935.0,22513,21578.0,4.15
3959,1973.0,57098,55125.0,3.46
5486,1386.0,62630,61244.0,2.21
5672,2334.0,66266,63932.0,3.52
15078,1676.0,44979,43303.0,3.73
11214,531.0,11979,11448.0,4.43
23562,141.0,1575,1434.0,8.95
373,2318.0,67230,64912.0,3.45
5698,1598.0,54316,52718.0,2.94
17400,858.0,20419,19561.0,4.2
10012,1517.0,41811,40294.0,3.63
12584,1621.0,67314,65693.0,2.41
7442,2126.0,67296,65170.0,3.16
22432,169.0,7800,7631.0,2.17
19812,650.0,15272,14622.0,4.26
5984,1520.0,53023,51503.0,2.87
259,858.0,29890,29032.0,2.87
6862,2497.0,67272,64775.0,3.71
1901,1848.0,54318,52470.0,3.4
3501,2347.0,66644,64297.0,3.52
8520,1438.0,41828,40390.0,3.44
18924,712.0,13701,12989.0,5.2
10574,1771.0,51587,49816.0,3.43
11760,2142.0,70320,68178.0,3.05
18790,984.0,16994,16010.0,5.79
19473,903.0,15777,14874.0,5.72
7367,2446.0,67235,64789.0,3.64
13859,1612.0,45438,43826.0,3.55
10705,1163.0,67276,66113.0,1.73
14028,1883.0,46199,44316.0,4.08
9517,2555.0,67304,64749.0,3.8
16437,496.0,10871,10375.0,4.56
14994,1946.0,45064,43118.0,4.32
8216,2392.0,67251,64859.0,3.56
4766,545.0,19708,19163.0,2.77
21008,524.0,7851,7327.0,6.67
13161,1768.0,62659,60891.0,2.82
991,2105.0,67285,65180.0,3.13
12562,2611.0,66090,63479.0,3.95
6614,2042.0,63850,61808.0,3.2
15430,1582.0,45579,43997.0,3.47
18518,877.0,16007,15130.0,5.48
7881,1786.0,47075,45289.0,3.79
4242,1672.0,53067,51395.0,3.15
11378,1783.0,67283,65500.0,2.65
2094,1865.0,51221,49356.0,3.64
16601,1387.0,28259,26872.0,4.91
6609,2275.0,66050,63775.0,3.44
10153,1798.0,47687,45889.0,3.77
16310,1556.0,35657,34101.0,4.36
11915,2058.0,67298,65240.0,3.06
593,963.0,29626,28663.0,3.25
19535,934.0,15682,14748.0,5.96
7974,1789.0,59019,57230.0,3.03
10183,1198.0,19810,18612.0,6.05
17344,1456.0,21871,20415.0,6.66
14516,1856.0,51405,49549.0,3.61
2152,1669.0,53988,52319.0,3.09
2942,2004.0,57033,55029.0,3.51
5852,2087.0,67295,65208.0,3.1
17828,941.0,19152,18211.0,4.91
9266,1702.0,67299,65597.0,2.53
5694,2078.0,67233,65155.0,3.09
18422,913.0,15864,14951.0,5.76
1000,2152.0,67130,64978.0,3.21
3861,1562.0,52037,50475.0,3.0
13689,1978.0,50042,48064.0,3.95
15134,1637.0,42559,40922.0,3.85
14142,2049.0,58433,56384.0,3.51
6078,2459.0,66963,64504.0,3.67
5624,1593.0,53102,51509.0,3.0
11849,2476.0,67327,64851.0,3.68
8367,1343.0,39466,38123.0,3.4
12384,2218.0,67262,65044.0,3.3
5324,2136.0,67253,65117.0,3.18
13105,2433.0,63257,60824.0,3.85
11400,2448.0,70309,67861.0,3.48
2733,2032.0,67199,65167.0,3.02
11999,2040.0,67304,65264.0,3.03
6216,1939.0,58776,56837.0,3.3
2267,1881.0,64380,62499.0,2.92
11175,1578.0,42542,40964.0,3.71
14744,1857.0,49969,48112.0,3.72
